,Phrase,Sentiment
42,"['horror', 'movie', 'primary', 'goal', 'frighten', 'disturb', 'work', 'spectacularly', 'well', 'shiver', 'inducing', 'nerve', 'rattling', 'ride']",4
43,"['minute', 'movie', 'minute', 'decent', 'material']",1
44,"['fortunately', 'still', 'option']",2
45,"['le', 'sensational', 'true', 'crime', 'hell', 'jaunt', 'purist', 'might', 'like', 'experimental', 'storytelling', 'though', 'le', 'horrifying']",3
46,"['tricky', 'satisfying', 'david', 'mamet', 'airless', 'cinematic', 'shell', 'game']",3
47,"['sure', 'filmmaker', 'would', 'disagree', 'honestly', 'see', 'point']",1
48,"['jones', 'tackled', 'meaty', 'subject', 'drawn', 'engaging', 'character', 'peppering', 'page', 'memorable', 'zinger']",4
49,"['bloody', 'sunday', 'grace', 'call', 'prevention', 'rather', 'place', 'blame', 'making', 'one', 'best', 'war', 'movie', 'ever', 'made']",4
50,"['take', 'clunky', 'tv', 'movie', 'approach', 'detailing', 'chapter', 'life', 'celebrated', 'irish', 'playwright', 'poet', 'drinker']",1
51,"['finally', 'coming', 'miramax', 'deep', 'shelf', 'couple', 'aborted', 'attempt', 'waking', 'reno', 'make', 'strong', 'case', 'letting', 'sleeping', 'dog', 'lie']",2
52,"['thanks', 'largely', 'williams', 'interesting', 'development', 'processed', 'minute', 'rest', 'overexposed', 'waste', 'film']",0
53,"['come', 'across', 'relic', 'bygone', 'era', 'convolution', 'feel', 'silly', 'rather', 'plausible']",0
54,"['perhaps', 'cliche', 'call', 'film', 'refreshing']",4
55,"['lead', 'performance', 'oscar', 'size']",4
56,"['run', 'life']",0
57,"['mark', 'pellington', 'latest', 'pop', 'thriller', 'kooky', 'overeager', 'spooky', 'subtly', 'love', 'myth']",3
58,"['claude', 'chabrol', 'camera', 'way', 'gently', 'swaying', 'back', 'forth', 'cradle', 'character', 'veiling', 'tension', 'beneath', 'otherwise', 'tender', 'movement']",3
59,"['transforms', 'one', 'shakespeare', 'deepest', 'tragedy', 'smart', 'new', 'comedy']",3
60,"['screenplay', 'james', 'eric', 'james', 'horton', 'director', 'peter', 'fallon', 'pat', 'make', 'teeth', 'hurt']",1
61,"['arriving', 'particularly', 'dark', 'moment', 'history', 'offer', 'flickering', 'reminder', 'tie', 'bind', 'u']",3
62,"['generic', 'villain', 'lack', 'intrigue', 'funny', 'accent', 'action', 'scene', 'poorly', 'delivered']",1
63,"['character', 'deeply', 'thought', 'right', 'thinking', 'film']",3
64,"['film', 'despite', 'gratuitous', 'cinematic', 'distraction', 'impressed', 'upon', 'still', 'good', 'fun']",3
65,"['downright', 'transparent', 'script', 'endless', 'assault', 'embarrassingly', 'ham', 'fisted', 'sex', 'joke', 'reek', 'script', 'rewrite', 'designed', 'garner', 'film', 'cooler', 'pg', 'rating']",0
66,"['smart', 'provocative', 'drama', 'nearly', 'impossible', 'get', 'skin', 'man', 'know', 'evil', 'monstrous', 'lunatic']",4
67,"['like', 'drive']",1
68,"['many', 'thing', 'stoner', 'midnight', 'flick', 'sci', 'fi', 'deconstruction', 'gay', 'fantasia', 'love', 'story', 'sanguine', 'title']",3
69,"['funny', 'romantic', 'comedy', 'two', 'skittish', 'new', 'york', 'middle', 'agers', 'stumble', 'relationship', 'struggle', 'furiously', 'fear', 'foible']",3
70,"['ambition', 'say', 'something', 'subject', 'willingness']",1
71,"['scherfig', 'made', 'movie', 'leave', 'wondering', 'character', 'life', 'clever', 'credit', 'roll']",3
72,"['absorbing', 'documentary']",3
73,"['reek', 'rot', 'hack', 'work', 'start', 'finish']",2
74,"['play', 'like', 'series', 'vignette', 'clip', 'film', 'still', 'looking', 'common', 'line']",1
75,"['major', 'problem', 'windtalker', 'bulk', 'movie', 'center', 'wrong', 'character']",1
76,"['swimfan', 'like', 'fatal', 'attraction', 'eventually', 'go', 'overboard', 'loony', 'melodramatic', 'denouement', 'high', 'school', 'swimming', 'pool', 'substitute', 'bathtub']",2
77,"['heartfelt', 'story', 'involving', 'one']",1
78,"['unsettling', 'memorable', 'cinematic', 'experience', 'predecessor', 'proud']",4
79,"['pretty', 'good', 'execution', 'story', 'lot', 'richer', 'one', 'hollywood', 'action', 'screenwriter', 'usually', 'come']",3
80,"['phillip', 'noyce', 'actor', 'well', 'cinematographer', 'christopher', 'doyle', 'understand', 'delicate', 'forcefulness', 'greene', 'prose', 'screen', 'version', 'quiet', 'american']",3
81,"['pianist', 'lack', 'quick', 'emotional', 'connection', 'steven', 'spielberg', 'schindler', 'list']",2
82,"['inventive', 'fun', 'intoxicatingly', 'sexy', 'violent', 'self', 'indulgent', 'maddening']",3
83,"['tell', 'fascinating', 'compelling', 'story']",4
84,"['written', 'flatly', 'david', 'kendall', 'directed', 'barely', 'something', 'mary', 'co', 'writer', 'ed', 'decter']",1
85,"['highly', 'recommended', 'viewing', 'courage', 'idea', 'technical', 'proficiency', 'great', 'acting']",4
86,"['imax', 'short', 'wonderful', 'big', 'screen']",4
87,"['show', 'u', 'slice', 'life', 'different', 'yet', 'instantly', 'recognizable']",3
88,"['amid', 'shock', 'curiosity', 'factor', 'film', 'corny', 'examination', 'young', 'actress', 'trying', 'find', 'way']",1
89,"['lazy', 'movie', 'avoid', 'solving', 'one', 'problem', 'trying', 'distract', 'u', 'solution', 'another']",2
90,"['comprehensible', 'dummy', 'guide', 'something', 'even', 'non', 'techie', 'enjoy']",3
91,"['entertains', 'much', 'music', 'comic', 'antic', 'perverse', 'pleasure', 'watching', 'disney', 'scrape', 'bottom', 'cracker', 'barrel']",1
92,"['writer', 'director', 'burr', 'steer', 'emphasizes', 'q', 'quirky', 'mixed', 'result']",3
93,"['scarcely', 'worth', 'mention', 'apart', 'reporting', 'number', 'tumbleweed', 'blowing', 'empty', 'theatre', 'graced', 'company']",0
94,"['invigorating', 'surreal', 'resonant', 'rainbow', 'emotion']",4
95,"['analyze', 'one', 'crass', 'contrived', 'sequel', 'fails', 'make', 'second', 'guess', 'affection', 'original']",0
96,"['report', 'card', 'live', 'exalted', 'tagline', 'definite', 'room', 'improvement']",1
97,"['particularly', 'good', 'film', 'neither', 'monsterous', 'one']",2
98,"['tsai', 'may', 'ploughing', 'furrow', 'often']",2
99,"['green', 'comedy', 'equivalent', 'saddam', 'hussein', 'ready', 'go', 'u', 'n', 'ask', 'permission', 'preemptive', 'strike']",1
100,"['surprisingly', 'solid', 'achievement', 'director', 'malcolm', 'lee', 'writer', 'john', 'ridley']",3
101,"['massoud', 'story', 'epic', 'also', 'tragedy', 'record', 'tenacious', 'humane', 'fighter', 'also', 'prisoner', 'ultimately', 'victim', 'history']",2
102,"['changing', 'lane', 'try']",3
103,"['shyamalan', 'stop', 'trying', 'please', 'mom']",1
104,"['macabre', 'stylized', 'swedish', 'fillm', 'modern', 'city', 'religious', 'civic', 'virtue', 'hold', 'society', 'place', 'tatter']",3
105,"['one', 'recent', 'memory', 'thoughtful', 'film', 'art', 'ethic', 'cost', 'moral', 'compromise']",4
106,"['narrative', 'consistently', 'unimaginative', 'probably', 'way', 'saved', 'film', 'aid', 'wisecracking', 'mystery', 'science', 'theater', 'guy']",2
107,"['filmmaker', 'tian', 'zhuangzhuang', 'triumphantly', 'return', 'narrative', 'filmmaking', 'visually', 'masterful', 'work', 'quiet', 'power']",4
108,"['mawkish', 'self', 'parody', 'play', 'like', 'weird', 'masterpiece', 'theater', 'sketch', 'neither', 'point', 'view', 'compelling', 'reason']",1
109,"['take', 'one', 'character', 'like', 'another', 'believe', 'put', 'battle', 'will', 'impossible', 'care', 'funny']",2
110,"['appreciate', 'one', 'sided', 'theme', 'lawrence', 'indulgent', 'tirade', 'knock', 'enjoy', 'big', 'screen', 'postcard', 'self', 'glorified', 'martin', 'lawrence', 'lovefest']",1
111,"['whole', 'film', 'sneaky', 'feel', 'director', 'trying', 'dupe', 'viewer', 'taking', 'important', 'simply', 'movie', 'ugly', 'look', 'hollywood', 'product']",0
112,"['whenever', 'threatens', 'get', 'bogged', 'earnest', 'dramaturgy', 'stirring', 'visual', 'sequence', 'like', 'surge', 'swirling', 'rapid', 'leap', 'pinnacle', 'pinnacle', 'rous', 'u']",3
113,"['swinging', 'film', 'make', 'seem', 'hobby', 'attracts', 'young', 'fit']",1
114,"['entirely', 'unprepared']",2
115,"['devos', 'delivers', 'perfect', 'performance', 'capture', 'innocence', 'budding', 'demon', 'within', 'wallflower']",3
116,"['year', 'russian', 'history', 'culture', 'compressed', 'evanescent', 'seamless', 'sumptuous', 'stream', 'consciousness']",4
117,"['filmmaker', 'want', 'nothing', 'else', 'show', 'u', 'good', 'time', 'cheap', 'b', 'movie', 'way', 'succeed']",3
118,"['mr', 'polanski', 'element', 'alone', 'abandoned', 'still', 'consoled', 'art', 'ever', 'revealed', 'source', 'spiritual', 'survival']",3
119,"['spider', 'man', 'better', 'summer', 'blockbuster', 'endure', 'last', 'summer', 'hopefully', 'set', 'tone', 'summer', 'good', 'stuff']",4
120,"['absorbing', 'character']",2
121,"['violent', 'vulgar', 'forgettably', 'entertaining']",1
122,"['unsettling', 'image', 'war', 'ravaged', 'land', 'prove', 'potent', 'riveting', 'unlikely', 'story', 'sarah', 'harrison']",2
123,"['wind', 'revelatory', 'narcissistic', 'achieving', 'honest', 'insight', 'relationship', 'high', 'concept', 'film', 'candy', 'coat', 'pat', 'storyline', 'precious', 'circumstance', 'beautiful', 'star']",3
124,"['mostly', 'martha', 'mostly', 'unsurprising', 'still', 'sweet', 'even', 'delectable', 'diversion']",3
125,"['thoughtful', 'surprisingly', 'affecting', 'portrait', 'screwed', 'man', 'dared', 'mess', 'powerful', 'people', 'seen', 'eye', 'idealistic', 'kid', 'chooses', 'champion', 'ultimately', 'losing', 'cause']",4
126,"['keenly', 'observed', 'refreshingly', 'natural', 'swimming', 'get', 'detail', 'right', 'promenade', 'barely', 'clad', 'body', 'myrtle', 'beach', 'c', 'adrenaline', 'jolt', 'sudden', 'lunch', 'rush', 'diner']",3
127,"['brilliant', 'gag', 'expense', 'paid', 'pay', 'see']",2
128,"['triumph', 'film', 'hews', 'world', 'carry', 'u', 'effortlessly', 'darkness', 'light']",4
129,"['everyone', 'involved', 'seems', 'coasting']",1
130,"['fascinating', 'dark', 'thriller', 'keep', 'hooked', 'delicious', 'pulpiness', 'lurid', 'fiction']",3
131,"['suspect', 'kind', 'production', 'would', 'funnier', 'director', 'released', 'outtake', 'theatrically', 'used', 'film', 'bonus', 'feature', 'dvd']",1
132,"['hard', 'say', 'might', 'enjoy', 'tolstoy', 'groupie']",1
133,"['daughter', 'danang', 'reveals', 'effort', 'toward', 'closure', 'open', 'new', 'wound']",1
134,"['one', 'year', 'weirdly', 'engaging', 'unpredictable', 'character', 'piece']",4
135,"['intriguing', 'downright', 'intoxicating']",4
136,"['although', 'fairly', 'involving', 'far', 'go', 'film', 'end', 'much', 'fresh', 'say', 'growing', 'catholic', 'really', 'anything']",1
137,"['movie', 'silly', 'beyond', 'comprehension', 'even', 'silly', 'would', 'still', 'beyond', 'comprehension']",0
138,"['sleek', 'arty']",3
139,"['poor', 'editing', 'bad', 'bluescreen', 'ultra', 'cheesy', 'dialogue', 'highlight', 'radical', 'action']",0
140,"['cho', 'face', 'amazing', 'slapstick', 'instrument', 'creating', 'scrapbook', 'living', 'mug', 'shot']",3
141,"['get', 'detail', 'time', 'frame', 'right', 'completely', 'miss', 'emotion']",1
142,"['initial', 'strangeness', 'inexorably', 'give', 'way', 'rote', 'sentimentality', 'mystical', 'tenderness', 'becomes', 'narrative', 'expedience']",2
143,"['let', 'brush', 'humanity', 'psycho', 'without', 'making', 'le', 'psycho']",3
144,"['like', 'world', 'film', 'hartley', 'created', 'monster', 'know', 'handle']",1
145,"['cowering', 'begging', 'foot', 'scruffy', 'giannini', 'madonna', 'give', 'best', 'performance', 'since', 'abel', 'ferrara', 'beaten', 'pulp', 'dangerous', 'game']",4
146,"['clumsy', 'key', 'moment', 'make', 'big', 'splash']",1
147,"['eight', 'legged', 'freak', 'partly', 'homage', 'tarantula', 'low', 'budget', 'b', 'movie', 'thriller', 'movie', 'silly', 'sophomoric', 'romp', 'horror', 'hellish', 'condition']",2
148,"['feel', 'like', 'light', 'errol', 'morris', 'focusing', 'eccentricity', 'failing', 'ultimately', 'make', 'something', 'bigger', 'scrapbook', 'oddball']",1
149,"['spielberg', 'realization', 'near', 'future', 'america', 'masterful']",4
150,"['scientific', 'law', 'discerned', 'producer', 'would', 'well', 'heed', 'mediocre', 'movie', 'start', 'drag', 'soon', 'action', 'speed', 'explosion', 'start', 'fall', 'piece']",0
151,"['one', 'cool', 'actor', 'never', 'seems', 'aware', 'coolness']",3
152,"['feel', 'like', 'work', 'artist', 'simply', 'tired', 'fighting', 'fight', 'putting', 'weight', 'world', 'shoulder', 'playing', 'narrative', 'form']",1
153,"['stale', 'uninspired']",1
154,"['director', 'cut', 'film', 'love', 'song', 'movie', 'also', 'fully', 'example', 'kind', 'lush', 'enveloping', 'movie', 'experience', 'rhapsodizes']",3
155,"['rare', 'capability', 'soothe', 'break', 'heart', 'single', 'stroke']",3
156,"['eerily', 'accurate', 'depiction', 'depression']",1
157,"['feature', 'length', 'film', 'wear', 'welcome', 'tryingly', 'title', 'character']",1
158,"['uncluttered', 'resonant', 'gem', 'relay', 'universal', 'point', 'without', 'lecture', 'confrontation']",3
159,"['story', 'alone', 'could', 'force', 'scratch', 'hole', 'head']",1
160,"['filmmaker', 'post', 'camp', 'comprehension', 'made', 'old', 'time', 'b', 'movie', 'good', 'bad', 'make', 'eight', 'legged', 'freak', 'perfectly', 'entertaining', 'summer', 'diversion']",3
161,"['creature', 'feature', 'fan', 'know', 'cross', 'toxic', 'chemical', 'bunch', 'exotic', 'creature', 'get', 'lot', 'running', 'around', 'screaming', 'death']",2
162,"['bet', 'make', 'rather', 'convoluted', 'journey', 'worth', 'taking']",2
163,"['take', 'sudden', 'turn', 'devolves', 'bizarre', 'sort', 'romantic', 'comedy', 'steven', 'shainberg', 'adaptation', 'mary', 'gaitskill', 'harrowing', 'short', 'story', 'brilliantly', 'played', 'deeply', 'unsettling', 'experience']",3
164,"['kim', 'ki', 'deok', 'seems', 'mind', 'emotionally', 'least', 'adolescent', 'audience', 'demanding', 'regular', 'shock', 'bout', 'barely', 'defensible', 'sexual', 'violence', 'keep', 'interested']",1
165,"['reason', 'exist', 'employ', 'hollywood', 'kid', 'people', 'owe', 'favor', 'famous', 'parent']",0
166,"['well', 'made', 'emotionally', 'scattered', 'film', 'whose', 'hero', 'give', 'heart', 'dog']",2
167,"['love', 'cinema', 'paradiso', 'find', 'new', 'scene', 'interesting', 'find', 'movie', 'improved']",2
168,"['campanella', 'get', 'tone', 'right', 'funny', 'middle', 'sad', 'middle', 'hopeful']",3
169,"['nothing', 'amiable', 'unfocused', 'bagatelle', 'play', 'like', 'loosely', 'connected', 'string', 'acting', 'workshop', 'exercise']",0
170,"['sharp', 'movie', 'otherwise', 'dull', 'subject']",3
171,"['wallace', 'get', 'bit', 'heavy', 'handed', 'message', 'time', 'visual', 'flair', 'wax', 'poetic', 'far', 'much', 'taste']",2
172,"['charming', 'funny', 'ultimately', 'silly', 'movie']",2
173,"['one', 'thing', 'wild', 'film', 'imax', 'film', 'chimp', 'lot', 'chimp', 'blown', 'size', 'house']",2
174,"['start', 'mediocre', 'spiral', 'downward', 'thud', 'bottom', 'pool', 'utterly', 'incompetent', 'conclusion']",0
175,"['child', 'film', 'truest', 'sense']",3
176,"['horrendously', 'amateurish', 'filmmaking', 'plainly', 'dull', 'visually', 'ugly', 'incomprehensible']",0
177,"['beautifully', 'crafted', 'engaging', 'filmmaking', 'attract', 'upscale', 'audience', 'hungry', 'quality', 'nostalgic', 'twisty', 'yarn', 'keep', 'guessing']",4
178,"['awkwardly', 'contrived', 'exercise', 'magic', 'realism']",1
179,"['punch', 'line', 'miss', 'unfortunately', 'outnumber', 'hit', 'three', 'one']",1
180,"['like', 'smoke', 'signal', 'film', 'also', 'imbued', 'strong', 'theme', 'familial', 'tie', 'spirituality', 'powerful', 'moving', 'without', 'stooping', 'base', 'melodrama']",3
181,"['evokes', 'style', 'flash', 'double', 'cross', 'made', 'mamet', 'house', 'game', 'last', 'fall', 'heist', 'much', 'fun']",3
182,"['film', 'aim', 'funny', 'uplifting', 'moving', 'sometimes']",3
183,"['brief', 'minute', 'need', 'x', 'le', 'blab']",2
184,"['spalding', 'gray', 'equivalent', 'teen', 'gross', 'comedy']",2
185,"['great', 'deal', 'corny', 'dialogue', 'preposterous', 'moment']",1
186,"['uneven', 'lot', 'fun']",3
187,"['result', 'might', 'look', 'like', 'vulgar']",2
188,"['film', 'rehash', 'several', 'old', 'theme', 'capped', 'pointless', 'extreme', 'insanely', 'violent', 'graphic']",0
189,"['dragon', 'real', 'star', 'reign', 'fire', 'wo', 'disappointed']",3
190,"['never', 'play', 'dramatic', 'even', 'dramatic', 'thing', 'happen', 'people']",1
191,"['manages', 'please', 'intended', 'audience', 'child', 'without', 'placing', 'parent', 'coma', 'like', 'state']",3
192,"['movie', 'generates', 'plot', 'point', 'degree', 'randomness', 'usually', 'achieved', 'lottery', 'drawing']",1
193,"['though', 'film', 'never', 'veers', 'comic', 'course', 'unintentional', 'parallel', 'might', 'inadvertently', 'evoke', 'memory', 'emotion', 'anything', 'humorous']",2
194,"['film', 'depress', 'life']",1
195,"['saw', 'tv', 'probably', 'turn', 'convinced', 'already', 'seen', 'movie']",1
196,"['get', 'impression', 'writer', 'director', 'burr', 'steer', 'know', 'territory', 'sense', 'humor', 'yet', 'lose', 'smug', 'self', 'satisfaction', 'usually', 'associated', 'better', 'private', 'school']",1
197,"['superior', 'horror', 'flick']",4
198,"['movie', 'heavy', 'handed', 'screenplay', 'navigates', 'fast', 'fade', 'pomposity', 'pretentiousness']",2
199,"['little', 'weak', 'funny']",1
200,"['fit', 'well', 'together', 'neither', 'well', 'told']",1
201,"['latently', 'gay', 'liking', 'read', 'hardly', 'enough']",2
202,"['sophisticated', 'literate', 'picture', 'usually', 'amusing', 'little', 'catch']",3
203,"['storytelling', 'feel', 'slight']",1
204,"['monte', 'cristo', 'smartly', 'emphasizes', 'well', 'wrought', 'story', 'omits', 'needle', 'chase', 'scene', 'swordfights', 'revenge', 'unfolds']",4
205,"['fairy', 'tale', 'come', 'renowned', 'indian', 'film', 'culture', 'allows', 'american', 'finally', 'revel', 'splendor']",4
206,"['well', 'done', 'supernatural', 'thriller', 'keen', 'insight', 'parapsychological', 'phenomenon', 'soulful', 'nuance', 'grieving', 'process']",3
207,"['bond', 'save', 'u', 'latest', 'eccentric', 'super', 'wealthy', 'megalomaniac', 'bent', 'world', 'domination', 'destruction']",2
208,"['depressing', 'ruthlessly', 'pained', 'depraved', 'movie', 'equivalent', 'staring', 'open', 'wound']",0
209,"['damon', 'brings', 'proper', 'conviction', 'role', 'jason', 'bourne']",3
210,"['parent', 'beware', 'downright', 'movie', 'penance']",1
211,"['rich', 'luscious', 'care']",3
212,"['singularly', 'putting', 'romantic', 'comedy']",1
213,"['director', 'boris', 'von', 'sychowski', 'instead', 'opts', 'routine', 'slasher', 'film', 'probably', 'fun', 'make', 'sit']",2
214,"['would', 'nice', 'screenwriter', 'trusted', 'audience', 'understand', 'complex', 'story', 'left', 'film', 'predictable', 'denouement']",0
215,"['superfluous', 'sequel', 'plagued', 'old', 'familiar', 'feeling', 'let', 'get', 'thing', 'everyone', 'shown', 'appointed', 'time', 'place', 'visible', 'enthusiasm', 'mighty', 'hard', 'find']",1
216,"['earnest', 'roughshod', 'document', 'serf', 'workable', 'primer', 'region', 'recent', 'history', 'would', 'make', 'terrific', 'th', 'grade', 'learning', 'tool']",3
217,"['cloak', 'familiar', 'anti', 'feminist', 'equation', 'career', 'kid', 'misery', 'tiresome', 'romantic', 'comedy', 'dud']",1
218,"['film', 'play', 'thing', 'nice', 'n', 'safe', 'often', 'play', 'like', 'milquetoast', 'movie', 'week', 'blown', 'big', 'screen']",1
219,"['work', 'transcends', 'boy', 'meet', 'girl', 'posturing', 'typical', 'love', 'story']",3
220,"['even', 'predictable', 'cliche', 'ridden', 'endeavor', 'predecessor']",1
221,"['play', 'like', 'bad', 'blend', 'overripe', 'episode', 'tv', 'dawson', 'creek', 'recycled', 'dumbed', 'version', 'love', 'story']",0
222,"['script', 'cover', 'huge', 'heavy', 'topic', 'bland', 'surfacey', 'way', 'offer', 'insight', 'instance', 'good', 'thing', 'happen', 'bad', 'people']",1
223,"['film', 'bad', 'improve', 'upon', 'experience', 'staring', 'blank', 'screen']",0
224,"['threw', 'load', 'money', 'idea', 'much', 'even', 'made', 'teenage', 'boy', 'wrestling', 'fan']",1
225,"['difficult', 'imagine', 'confused', 'le', 'interesting', 'sloppily', 'made', 'film', 'could', 'possibly', 'come', 'road']",0
226,"['though', 'film', 'well', 'intentioned', 'one', 'could', 'rent', 'original', 'get', 'love', 'story', 'parable']",3
227,"['jolting', 'charleston', 'rhythm', 'story', 'sizzle', 'old', 'news', 'finally', 'found', 'right', 'vent', 'accurate']",2
228,"['williams', 'play', 'sy', 'another', 'open', 'faced', 'smiling', 'madman', 'like', 'killer', 'insomnia']",2
229,"['phoned', 'business', 'usual']",1
230,"['lackadaisical', 'plotting', 'mindless', 'action', 'benjamin', 'evokes', 'bottom', 'tier', 'blaxploitation', 'flick']",1
231,"['ah', 'yes', 'would', 'fighting', 'urge', 'doze']",0
232,"['thoughtless', 'random', 'superficial', 'humour', 'lot', 'bad', 'scouse', 'accent']",0
233,"['era', 'big', 'star', 'high', 'production', 'value', 'standard', 'procedure', 'narc', 'strike', 'defiantly', 'retro', 'chord', 'outpaces', 'contemporary', 'daring', 'verve']",3
234,"['rip', 'roaring', 'comedy', 'action', 'fest', 'put', 'hair', 'chest']",3
235,"['thoughtful', 'heart', 'well', 'mind']",4
236,"['miyazaki', 'one', 'world', 'cinema', 'wondrously', 'gifted', 'artist', 'storyteller']",4
237,"['chronicle', 'one', 'man', 'quest', 'president', 'man', 'single', 'handedly', 'turned', 'plane', 'full', 'hard', 'bitten', 'cynical', 'journalist', 'essentially', 'campaign', 'end', 'extended', 'publicity', 'department']",3
238,"['provides', 'kind', 'laugh', 'therapy', 'need', 'movie', 'comedy', 'offbeat', 'humor', 'amusing', 'character', 'happy', 'ending']",4
239,"['feel', 'strangely', 'hollow', 'emotional', 'core']",0
240,"['time', 'commercialism', 'squeezed', 'life', 'whatever', 'idealism', 'american', 'moviemaking', 'ever', 'godfrey', 'reggio', 'career', 'shine', 'like', 'lonely', 'beacon']",3
241,"['director', 'roger', 'michell', 'many', 'little', 'thing', 'right', 'difficult', 'cuss', 'severely', 'bungling', 'big', 'stuff']",2
242,"['robert', 'harmon', 'le', 'approach', 'delivers', 'real', 'bump', 'night', 'chill', 'greatest', 'triumph', 'keeping', 'creepy', 'crawlies', 'hidden', 'film', 'thick', 'shadow']",3
243,"['movie', 'may', 'highest', 'production', 'value', 'ever', 'seen', 'work', 'artist', 'one', 'whose', 'view', 'america', 'history', 'awkwardness', 'human', 'life', 'generous', 'deep']",4
244,"['feral', 'uncomfortable']",1
245,"['sillier', 'cuter', 'shorter', 'first', 'best', 'remember', 'still', 'good', 'time', 'cinema']",4
